Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area, Release/ Transfer Target , Coded Wire Tag Target , Fin Clip Target ,Clip Type, Thermal Mark Target , Parentage-based Tag Target , PIT Tag Target ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer In,Egg,Spius Cr,Spius Creek H,,125,,,,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Education ,Primary, -   ,Release,Fed Fry,Chilcotin R,Williams Lk Schools,29G,100,,,,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,,Primary, -   ,Transfer In,Egg,Spruce C Wldlf Ass,Salmon River/ UPFR H,,350,,,,,,,,,,Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I, Education ,Primary, -   ,Release,Fed Fry,Williams Lk R,Williams Lk Schools,29G,300,,,,,,,,,"CA will attempt to collect Quesnel R chinook at school field trip, but there is uncertainty on if broodstock will be available at that time so Nechako remains the primary line.",Preliminary
BC Interior,PIP,Car-Chilc (Williams) Sch,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Quesnel R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Education ,Alternate,350,Release,Fed Fry,Quesnel R,Williams Lk Schools,29G,300,,,,,,,,,Production line to allow for collaborative school field trip with CA. Uncertainty if brood will be available at the time of the trip. Broodstock will be collected by CA and transferred directly to schools.,Preliminary
BC Interior,PIP,Central Okanagan Sch,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Education ,Alternate, -   ,Release,Smolt 0+,Shuswap R Low,Kelowna Schools,29K, -   ,,,,,,,,,2025: Removed from plan due to whirling disease risk,Preliminary
BC Interior,PIP,Central Okanagan Sch,"CA - Central Interior, Boston Bar to 100 Mile",Sockeye,Landlocked,Mission Cr/OKAN,,,29K, Education ,Primary,"1,000",Release,Fed Fry,Mission Cr/OKAN,Kelowna Schools,29K,750,,,,,,,,,2023: CA collects eggs directly. Strict biosecurity measures will be followed including a specific set of kokanee only equipment and IHN monitoring.,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Fry,Thompson R N,Dunn Creek H,,10000,,,,,,,,,2025: Alternate plan if Deadman R Facility is not operational,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Smolt,Thompson R N,Dunn Creek H,,20000,,,,,,,,,2025: Alternate plan if Deadman R Facility is not operational,Preliminary
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,"30,000",Transfer Out,Egg,Thompson R N,Dunn Creek H,,30000,,,,,,,,,2025: Alternate plan if Deadman R Facility is not operational,Preliminary
